,jp,en
64,絵,"絵
え

picture
drawing
painting
sketch
"
65,冬,"冬
ふゆ

winter
"
66,入れる,"入れる
いれる

to put in
to let in
to take in
to bring in
to insert
to set (a jewel, etc.)
to ink in (e.g. a tattoo)
to admit
to accept
to employ
to hire
to accept
to comply
to grant
to adopt (a policy, etc.)
to take (advice, etc.)
to listen to
to pay attention to
to include
to pay (one's rent, etc.)
to cast (a vote)
to make (tea, coffee, etc.)
to turn on (a switch, etc.)
to send (a fax)
to call
"
67,七つ,"七つ
ななつ

seven
"
68,どれ,"どれ
どれ

which (of three or more)
whichever
any
well
now
let me see
"
69,勉強,"勉強
べんきょう

study
diligence
discount
reduction
"
70,七,"七
しち
なな
な

seven
hepta-
"
71,終わる,"終わる
おわる

to finish
to end
to close
"
72,あの,"あの
あの

that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)
"
73,紙,"紙
かみ

paper
"
74,問題,"問題
もんだい

question (e.g. on a test)
problem
problem (e.g. societal, political)
question
issue
subject (e.g. of research)
case
matter
question (i.e. doubt)
public discussion
controversy
trouble
problem
inconvenience
difficulty
"
75,四,"四
し
よん
よ

four
"
76,話す,"話す
はなす

to talk
to speak
to converse
to chat
to tell
to explain
to narrate
to mention
to describe
to discuss
to speak (a language)
"
77,千,"千
せん
ち 1,000;

thousand
"
78,写真,"写真
しゃしん

photograph
photo
picture
snapshot
snap
movie
"
79,家族,"家族
かぞく

family
members of a family
"
80,映画,"映画
えいが

movie
film
"
81,答える,"答える
こたえる

to answer
to reply
"
82,兄,"兄
あに

elder brother
older brother
"
83,漢字,"漢字
かんじ

Chinese characters
kanji
"
84,する,"する
する

to do
to cause to become
to make (into)
to turn (into)
to serve as
to act as
to work as
to wear (clothes, a facial expression, etc.)
to judge as being
to view as being
to think of as
to treat as
to use as
to decide on
to choose
to be sensed (of a smell, noise, etc.)
to be (in a state, condition, etc.)
to be worth
to cost
to pass (of time)
to elapse
to place, or raise, person A to a post or status B
to transform A to B
to make A into B
to exchange A for B
to make use of A for B
to view A as B
to handle A as if it were B
to feel A about B
verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"")
creates a humble verb (after a noun prefixed with ""o"" or ""go"")
to be just about to
to be just starting to
to try to
to attempt to
"
85,花,"花
はな

flower
blossom
bloom
petal
cherry blossom
beauty
blooming (esp. of cherry blossoms)
ikebana
Japanese playing cards
(the) best
"
86,持つ,"持つ
もつ

to hold (in one's hand)
to take
to carry
to possess
to have
to own
to maintain
to keep
to last
to be durable
to keep
to survive
to take charge of
to be in charge of
"
87,有名,"有名
ゆうめい

famous
fame
"
88,休む,"休む
やすむ

to be absent
to take a day off
to rest
to have a break
to go to bed
to (lie down to) sleep
to turn in
to retire
to stop doing some ongoing activity for a time
to suspend business
"
89,春,"春
はる

spring
springtime
New Year
prime (of one's life, etc.)
adolescence
puberty
sexuality
"
90,魚,"魚
さかな
うお

fish
"
91,止まる,"止まる
とまる

to stop (moving)
to come to a stop
to stop (doing, working, being supplied)
to come to a halt
to cease
to be stopped
to be suspended
to alight
to perch on
"
92,黒い,"黒い
くろい

black
dark
illicit
wicked
underground
"
93,駅,"駅
えき

station
"
94,どうして,"どうして
どうして

why?
for what reason
how
in what way
for what purpose
what for
"
95,始まる,"始まる
はじまる

to begin
to start
to commence
to happen (again)
to begin (anew)
to date (from)
to originate (in)
"
96,中,"中
なか

inside
in
among
within
center (centre)
middle
during
while
"
97,時計,"時計
とけい
ときはかり

watch
clock
timepiece
"
98,鳥,"鳥
とり

bird
bird meat (esp. chicken meat)
fowl
poultry
"
99,八,"八
はち
や

eight
"
100,肉,"肉
にく
しし

flesh
meat
the physical body (as opposed to the spirit)
thickness
ink pad
"
101,毎朝,"毎朝
まいあさ
まいちょう

every morning
"
102,青,"青
あお

blue
green
green light
black (horse coat color)
immature
unripe
young
"
103,九,"九
きゅう
く
ここの
この
ここ

nine
"
104,待つ,"待つ
まつ

to wait
to await
to look forward to
to anticipate
to depend on
to need
"
105,足,"足
あし

foot
leg
gait
pace
bottom structural component (i.e. radical) of a kanji
means of transportation
money
coin
"
106,じゃ,"じゃ
じゃ

then
well
so
well then
combination of 'de' and 'wa' particles
plain copula
"
107,夏,"夏
なつ

summer
"
108,万,"万
まん
よろず 10,000;

ten thousand
myriad
everything
all
various
"
109,上げる,"上げる
あげる

to raise
to elevate
to do up (one's hair)
to fly (a kite, etc.)
to launch (fireworks, etc.)
to surface (a submarine, etc.)
to land (a boat)
to deep-fry
to show someone (into a room)
to summon (for geishas, etc.)
to send someone (away)
to enrol (one's child in school)
to enroll
to increase (price, quality, status, etc.)
to develop (talent, skill)
to improve
to make (a loud sound)
to raise (one's voice)
to earn (something desirable)
to praise
to give (an example, etc.)
to cite
to summon up (all of one's energy, etc.)
to arrest
to nominate
to give
to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)
to bear (a child)
to conduct (a ceremony, esp. a wedding)
(of the tide) to come in
to vomit
to do for (the sake of someone else)
to complete ...
to humbly do ...
"
110,あっち,"あっち
あっち

that way (direction distant from both speaker and listener)
over there
yonder
that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener)
that
that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener)
there (place distant from both speaker and listener)
over there
foreign country (esp. a Western nation)
"
111,じゃあ,"じゃあ
じゃあ

then
well
so
well then
combination of 'de' and 'wa' particles
plain copula
"
112,初め,"初め
はじめ

beginning
start
outset
opening
first (in line, etc.)
origin
such as ...
not to mention ...
"
113,よい,"よい
よい

good
excellent
fine
nice
pleasant
agreeable
sufficient (can be used to turn down an offer)
ready
prepared
profitable (e.g. deal, business offer, etc.)
beneficial
OK
"
114,河,"河
かわ
がわ

river
stream
the .... river
(suffix used with the names of rivers)
"
115,御飯,"御飯
ごはん

cooked rice
meal
"
116,明い,"明い
あかるい

bright
colourful
cheerful
familiar (with)
knowledgeable (about)
fair (e.g. politics)
clean
"
117,叔母さん,"叔母さん
おばさん

aunt
old lady
ma'am (vocative)
"
118,初めて,"初めて
はじめて

for the first time
only after ... is it ...
only when ... do you ...
"
119,風邪,"風邪
かぜ
ふうじゃ

common cold
cold
influenza
flu
ague
"
120,先週,"先週
せんしゅう

last week
the week before
"
121,働く,"働く
はたらく

to work
to labor
to labour
to function
to operate
to be effective
to work (i.e. ... works)
to come into play
to commit (e.g. a crime)
to perpetrate
to do
to act
to practise
to practice
to be conjugated
"
122,角,"角
かど

corner (e.g. desk, pavement)
edge
"
123,甘い,"甘い
あまい

sweet-tasting
sweet
sugary
sugared
fragrant (smelling)
sweet (music)
lightly salted
light in salt
not spicy
naive
overly optimistic
soft on
generous
indulgent
easy-going
lenient
half-hearted
not finished properly
insufficient
not satisfactory
inadequate
loose
mild
tempting
enticing
luring
"
124,警官,"警官
けいかん

police officer
policeman
constable
"
125,門,"門
もん

gate
branch of learning based on the teachings of a single master
division
phylum
counter for cannons
"
126,厚い,"厚い
あつい

thick
deep
heavy
kind
cordial
hospitable
warm
faithful
serious (of an illness)
abundant
"
127,宿題,"宿題
しゅくだい

homework
"
128,習う,"習う
ならう

to take lessons in
to be taught
to learn (from a teacher)
to study (under a teacher)
to get training in
"
129,さあ,"さあ
さあ

come
come now
come along
go on
hurry up
well
who knows
I don't know...
uh
hmm
well now
let's see
there we go
all right
about that
you see
"
130,今朝,"今朝
けさ
こんちょう

this morning
"
131,廊下,"廊下
ろうか

corridor
hallway
passageway
"
132,大勢,"大勢
おおぜい
たいぜい

many
crowd
great number of people
"
133,吸う,"吸う
すう

to smoke
to breathe in
to inhale
to suck
to sip
to slurp
to absorb
to soak up
to kiss
"
134,磨く,"磨く
みがく

to polish
to shine
to brush (e.g. teeth)
to refine
to improve
"
135,悪い,"悪い
わるい

bad
poor
inferior
evil
sinful
unprofitable
unbeneficial
at fault
to blame
in the wrong
sorry
"
136,歯,"歯
は

tooth
"
137,貼る,"貼る
はる

to stick
to paste
to affix
to stretch
to spread
to strain
to tighten
to put up (tent)
to form (e.g. ice on a pond)
to fill
to swell
to stick out
to put
to slap
to be expensive
to keep a watch on
to be on the lookout
to become one tile away from completion
to span
to generate
"
138,晴れ,"晴れ
はれ

clear weather
fine weather
formal
ceremonial
public
cleared of suspicion
"
139,作文,"作文
さくぶん

writing (an essay, prose, etc.)
composition
formal writing with little real meaning
"
140,撮る,"撮る
とる

to take (a photo)
to record (video, audio, etc.)
to make (a film)
"
141,狭い,"狭い
せまい

narrow
confined
small
"
142,閉まる,"閉まる
しまる

to be shut
to close
to be closed
to be firm (of a body, face, etc.)
to be well-knit
to be locked
to tighten
to be tightened
to become sober
to become tense
"
143,橋,"橋
はし

bridge
"
144,細い,"細い
ほそい

thin
slender
fine
unlucky (billiards slang)
"
145,着く,"着く
つく

to arrive at
to reach
to sit on
to sit at (e.g. the table)
"
146,封筒,"封筒
ふうとう

envelope
"
147,体,"体
たい

body
physique
posture
shape
form
style
substance
identity
reality
field
counter for humanoid forms (e.g. dolls, statues, corpses, etc.)
typeface
type
"
148,叔父,"叔父
おじ
しゅくふ

uncle
"
149,暑い,"暑い
あつい

hot (weather, etc.)
warm
"
150,風,"風
かぜ

wind
breeze
draught
draft
manner
behaviour
behavior
cold
influenza
"
151,辺,"辺
へん

area
vicinity
region
side
edge
circumstances
"
152,丈夫,"丈夫
じょうぶ

healthy
robust
strong
solid
durable
"
153,引く,"引く
ひく

to pull
to draw (attention, etc.)
to attract (interest, etc.)
to draw back
to draw (a card)
to draw (plan, line, etc.)
to catch (cold)
to play (string instr.)
to look up (e.g. dictionary)
to consult
to haul
to pull (vehicles)
to subtract
to ebb
to fade
to descend (from)
to inherit (a characteristic)
to quote
to raise (as evidence)
to lay (a cable)
to draw (a cable)
"
154,先,"先
さき

previous
prior
former
first
earlier
some time ago
preceding
point (e.g. pencil)
tip
end
nozzle
head (of a line)
front
ahead
the other side
the future
hereafter
destination
the other party
"
155,一昨年,"一昨年
いっさくねん
おととし

year before last
"
156,上着,"上着
うわぎ

coat
tunic
jacket
outer garment
"
157,危ない,"危ない
あぶない

dangerous
risky
hazardous
perilous
precarious
in danger
in jeopardy
critical
grave
at risk
uncertain
unreliable
insecure
unsteady
doubtful
close (i.e. a close call)
narrow
look out!
watch out!
"
158,涼しい,"涼しい
すずしい

cool
refreshing
clear (e.g. eyes)
bright
clear
distinct
composed (facial expression)
unruffled
unconcerned
pure
upright
innocent
"
159,お菓子,"お菓子
おかし

confections
sweets
candy
"
160,昨夜,"昨夜
ゆうべ
さくや

last night
evening
"
161,大使館,"大使館
たいしかん

embassy
"
162,ちょうど,"ちょうど
ちょうど

exactly
precisely
just
right
as if
as though
quite
"
163,閉める,"閉める
しめる

to close
to shut
"
164,飛ぶ,"飛ぶ
とぶ

to fly
to soar
to jump
to leap
to spring
to bound
to hop
"
165,灰皿,"灰皿
はいざら

ashtray
"
166,所,"所
ところ
とこ

place
spot
scene
site
address
district
area
locality
one's house
point
part
space
room
thing
matter
whereupon
as a result
about to
on the verge of
was just doing
was in the process of doing
have just done
just finished doing
"
167,吹く,"吹く
ふく

to blow (of the wind)​
to blow (one's breath)
to breathe out
to blow on (hot tea, candles, etc.)
to puff​
to play (a wind instrument)
to blow (a whistle, trumpet, etc.)
to whistle (a tune)​
to emit (smoke, fire, etc.)
to spout
to spew
to puff out
to sprout
to put forth (buds)​
to appear (on the surface)
to form
to be coated with (powder, rust, etc.)​
to burst out laughing
to burst into laughter
to brag
to talk big​
to smelt
to mint
"
168,椅子,"椅子
いす

chair
stool
post
office
position
"
169,立派,"立派
りっぱ

splendid
fine
handsome
elegant
imposing
prominent
praiseworthy
creditable
worthy
legal
legitimate
lawful
undeniable (e.g. crime)
indisputable
solid
"
170,無くす,"無くす
なくす

to lose something
to get rid of
to lose someone (wife, child, etc.)
"
171,鍵,"鍵
かぎ

key
lock
"
172,葉書,"葉書
はがき

postcard
memo
note
card
"
173,差す,"差す
さす

to shine
to be visible
to be tinged with
to rise (of water levels)
to flow in
to be felt (i.e. as an emotion)
to come over one
to hold up (an umbrella, etc.)
to put up
to raise
to extend one's arm straight ahead (in dance)
to insert
to put in
to wear (a sword) in one's belt
to wear at one's side
to carry under one's arm
to insert one's arm under an opponent's arm
to pole (a boat)
to pour
to add (liquid)
to serve (drinks)
to put on (lipstick, etc.)
to apply
to colour
to dye
to light (a fire)
to burn
to shut
to close
to lock
to fasten
to stop in the midst of
to leave undone
"
174,傘,"傘
かさ

umbrella
parasol
"
175,豚肉,"豚肉
ぶたにく
とんにく

pork
"
176,あめ,"あめ
あめ (

hard) candy
toffee
rice-sugar
sugar made from the starch of rice, potatoes, etc.
amber
yellowish-brown
"
177,並べる,"並べる
ならべる

to line up
to set up
to arrange in a line
to enumerate
to itemize
to be equal (to)
to compare well (with)
to be as good (as)
"
178,交差点,"交差点
こうさてん

crossing
intersection
"
179,曇り,"曇り
くもり

cloudiness
cloudy weather
shadow
"
180,一昨日,"一昨日
おととい
おとつい
いっさくじつ

day before yesterday
"
181,水,"水
すい

Wednesday
shaved ice (served with flavored syrup)
water (fifth of the five elements)
"
182,まっすぐ,"まっすぐ
まっすぐ

straight (ahead)
direct
upright
erect
straightforward
honest
frank
"
183,背広,"背広
せびろ

business suit
"
184,鳴く,"鳴く
なく

to sing (bird)
to bark
to purr
to make sound (animal)
"
185,空,"空
そら

sky
the air
the heavens
weather
far-off place
distant place
state of mind
feeling
(from) memory
(by) heart
falsehood
lie
somehow
vaguely
fake
"
186,本棚,"本棚
ほんだな

bookshelves
bookshelf
bookcase
"
187,入口,"入口
いりぐち
いりくち
はいりぐち
はいりくち

entrance
entry
gate
approach
mouth
"
188,暖かい,"暖かい
あたたかい
あったかい

warm
mild
genial
"
189,二十歳,"二十歳
はたち
にじゅっさい 20

years old
twenty
"
190,花瓶,"花瓶
かびん
はながめ
かへい (

flower) vase
"
191,易しい,"易しい
やさしい

easy
plain
simple
"
192,茶碗,"茶碗
ちゃわん

rice bowl
tea cup
teacup
"
193,履く,"履く
はく

to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.)
to put on (or wear) footwear
to affix a sword to one's hip
to affix a bowstring to a bow
"
194,再来年,"再来年
さらいねん

year after next
"
195,小さな,"小さな
ちいさな

small
little
tiny
"
196,お手洗い,"お手洗い
おてあらい

toilet
restroom
lavatory
bathroom
"
197,曇る,"曇る
くもる

to get cloudy
to cloud over
to become overcast
to cloud up
to fog up
to mist up
to become dim
to be gloomy
to be clouded (expression)
to be downcast
to look slightly downward (of a noh mask
indicating sadness, grief, etc.)
"
198,弾く,"弾く
ひく

to play (piano, guitar)
"
199,賑やか,"賑やか
にぎやか

bustling
busy
lively
"
200,石鹸,"石鹸
せっけん

soap
"
201,まずい,"まずい
まずい

unappetising
unappetizing
unpleasant (taste, appearance, situation)
unskillful
unskilful
bungling
clumsy
ugly
homely
plain
unattractive
awkward
untimely
inopportune
unfavorable
unwise
"
202,お腹,"お腹
おなか

stomach
"
203,明後日,"明後日
あさって
みょうごにち

day after tomorrow
"
204,八百屋,"八百屋
やおや

greengrocer
"
205,温い,"温い
ぬるい
ぬくい

lukewarm
tepid
lenient
slow
stupid
"
206,万年筆,"万年筆
まんねんひつ
まんねんぴつ
まんねんふで

fountain pen
"
207,家,"家
や (

something) shop
somebody who sells (something) or works as (something)
somebody with a (certain) personality trait
house
roof
"
208,字引,"字引
じびき

dictionary
"
209,次,"次
じ

next
hypo- (i.e. containing an element with low valence)
order
sequence
time
times
"
210,皿,"皿
さら

plate
dish
platter
disc
serving
helping
course
kanji radical 108 (at the bottom)
"
211,縦,"縦
たて

the vertical
height
front-to-back
length
north-to-south
vertical (relationship)
hierarchy
(weaving) warp
"
212,土,"土
つち

earth
soil
dirt
clay
mud
the earth (historically, esp. as opposed to the heavens)
the ground
the land
low-quality torinoko-gami (containing mud)
(period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)
"
213,すっかり,"すっかり
すっかり

all
completely
thoroughly
"
214,ともかく,"ともかく
ともかく

anyhow
anyway
somehow or other
generally speaking
in any case
be that as it may
"
215,なんとなく,"なんとなく
なんとなく

somehow or other
for some reason or another
vaguely
"
216,くれぐれも,"くれぐれも
くれぐれも

repeatedly
sincerely
earnestly
"
217,なお,"なお
なお

furthermore
still
yet
more
still more
in addition
greater
further
"
218,よう,"よう
よう

appearing ...
looking ...
way to ...
method of ...ing
form
style
design
like
similar to
thing (thought or spoken)
"
219,しゃべる,"しゃべる
しゃべる

to talk
to chat
to chatter
"
220,くらい,"くらい
くらい

approximately
about
around
or so
to (about) the extent that
(almost) enough that
so ... that ...
at least
as ... as ...
like
"
221,において,"において
において

in
on
at (place)
as for
regarding
"
222,たくさん,"たくさん
たくさん

a lot
lots
plenty
many
a large number
much
a great deal
a good deal
enough
sufficient
enough
too many
too much
"
223,とても,"とても
とても

very
awfully
exceedingly
(not) at all
by no means
simply (cannot)
"
224,もう,"もう
もう

now
soon
shortly
before long
presently
already
yet
by now
(not) anymore
further
more
again
another
the other
interjection used to strengthen expression of an emotion (often exasperation)
"
225,こちら,"こちら
こちら

this way (direction close to the speaker or towards the speaker)
this direction
here (place close to the speaker or where the speaker is)
this one (something physically close to the speaker)
I
me
we
us
this person (someone physically close to the speaker and of equal or higher status)
"
226,だめ,"だめ
だめ

no good
not serving its purpose
useless
broken
hopeless
wasted
in vain
purposeless
cannot
must not
not allowed
neutral point (in go)
intersection owned by neither player at the end of a game
"
227,わざわざ,"わざわざ
わざわざ

expressly
specially
doing something especially rather than incidentally
"
228,あまり,"あまり
あまり

remainder
rest
balance
remains
scraps
residue
remnant
not very (with negative sentence)
not much
surplus
excess
fullness
too much
more than
over
"
229,すでに,"すでに
すでに

already
too late
"
230,きっと,"きっと
きっと

surely
undoubtedly
almost certainly
most likely (e.g. 90 percent)
sternly
severely
having no slack
rigid
stiff
tight
suddenly
abruptly
instantly
"
231,そば,"そば
そば

near
close
beside
vicinity
proximity
besides
while
third person
"
232,ふと,"ふと
ふと

suddenly
casually
accidentally
incidentally
unexpectedly
unintentionally
"
233,さあっと,"さあっと
さあっと

relatively quickly (esp. actions)
quite suddenly (esp. wind, rain, etc.)
"
234,おかしい,"おかしい
おかしい

funny
amusing
comical
laughable
ridiculous
strange
odd
funny
peculiar
weird
unusual
eccentric
improper
unsuitable
unbecoming
suspicious
"
235,やっぱり,"やっぱり
やっぱり

too
also
likewise
either
still
as before
even so
either way
nonetheless
in any event
all the same
as expected
"
236,しかたない,"しかたない
しかたない

it can't be helped
it's inevitable
it's no use
can't stand it
impatient
annoyed
"
237,ありふれた,"ありふれた
ありふれた

unsurprising
trite
commonplace
mundane
hackneyed
garden variety (of)
"
238,つらい,"つらい
つらい

painful
bitter
heart-breaking
difficult (emotionally)
tough
difficult
hard (usu. of situations)
cruel
harsh
cold
"
239,たまたま,"たまたま
たまたま

casually
unexpectedly
accidentally
by chance
"
240,ちゃんと,"ちゃんと
ちゃんと

diligently
seriously
earnestly
reliably
steadily
legitimately
perfectly
properly
exactly
orderly
punctually
regularly
sufficiently
satisfactorily
quickly
"
241,ただ,"ただ
ただ

ordinary
common
usual
free of charge
unaffected
as is
safe
only
merely
just
simply
but
however
nevertheless
"
242,きつい,"きつい
きつい

intense
severe
hard
determined
forceful
formidable
strong
tight
close
"
243,もはや,"もはや
もはや

already
now
no longer
not any more
"
244,おんち,"おんち
おんち

tone-deafness
amusia
having no ear for music
tone-deaf
off-key
having no sense (of something)
being hopeless (when it comes to something)
"
245,せっかく,"せっかく
せっかく

with trouble
at great pains
rare
valuable
precious
long-awaited
kind
specially
especially
expressly
"
246,っていうか,"っていうか
っていうか

or rather (say)
or better (say)
or perhaps I should say
or, how should I put it,...
I mean
"
247,めずらしい,"めずらしい
めずらしい

unusual
rare
curious
new
novel
fine (e.g. gift)
"
248,なかなか,"なかなか
なかなか

very
considerably
easily
readily
fairly
quite
highly
rather
by no means (with negative verb)
not readily
middle
half-way point
excellent
wonderful
very good
"
249,さっさ,"さっさ
さっさ

promptly
immediately
quickly
without delay
indifferently
"
250,ほとんど,"ほとんど
ほとんど

mostly
nearly
practically
well-nigh
almost invariably
all but
just about
almost
"
251,など,"など
など

et cetera
etc.
and the like
and so forth
or something
the likes of
"
252,ほんの,"ほんの
ほんの

mere
only
just
not even (with negative verb)
"
253,それに,"それに
それに

besides
in addition
also
moreover
"
254,ずっと,"ずっと
ずっと

continuously in some state (for a long time, distance)
throughout
all along
the whole time
all the way
much (better, etc.)
by far
far and away
far away
long ago
direct
straight
"
255,わけがない,"わけがない
わけがない

there is no way that ... (expresses speaker's belief that something is impossible)
easy
simple
"
256,なのに,"なのに
なのに

and yet
despite this
but even so
but even then
however
nevertheless
for all that
notwithstanding that
"
257,かくして,"かくして
かくして

thus
"
258,うち,"うち
うち

inside
within
while
among
amongst
between
we (referring to one's in-group, i.e. company, etc.)
our
my spouse
imperial palace grounds
emperor
I (primarily used by women and children)
me
"
259,ぶつかる,"ぶつかる
ぶつかる

to strike against
to collide with
to bump into
to conflict
to encounter
to meet
to clash
"
260,どうでもいい,"どうでもいい
どうでもいい

inconsequential
indifferent
not worth worrying about
whatever you do is OK
trivial
"
261,まず,"まず
まず

first (of all)
to start with
about
almost
anyway
well
now
hardly (with neg. verb)
"
262,さっき,"さっき
さっき

some time ago
just now
"
263,それとも,"それとも
それとも

or
or else
"
264,ようになる,"ようになる
ようになる

to reach the point that
to come to be that
to turn into
"
265,てか,"てか
てか

or rather (say)
or better (say)
or perhaps I should say
or, how should I put it,...
I mean
"
266,には,"には
には

for (in regard to)
in order to
"
267,いざ,"いざ
いざ

now
come (now)
well
"
268,ちなみに,"ちなみに
ちなみに

by the way
in this connection
incidentally
in passing
"
